2.0	にーてんれー	マスター
2.0	にーてんぜろ	マスター
2.1	にーてんいち	マスター
3:1	さんたいいち	マスター
4.5：1	よんてんごたいいち	マスター
508条	ごーまるはちじょう	マスター
A	しんぐるえー	マスター
AA	だぶるえー	マスター
AAA	とりぷるえー	マスター
Ability	あびりてぃー	マスター
ACAA	えーしーえーえー	マスター
Access 	あくせす	マスター
Accessiブル GOGO！	あくせしぶるごーごー	マスター
Acrobat	あくろばっと	マスター
Acrobat Reader	あくろばっとりーだー	マスター
ADA	えーでぃーえー	マスター
ADHD	えーでぃーえいちでぃー	マスター
Air Career Access Act	えあーきゃりああくせすあくと	マスター
Alexa	あれくさ	マスター
alt属性	おるとぞくせい	マスター
Android	あんどろいど	マスター
AODA	えいおーでぃーえー	マスター
Apple	あっぷる	マスター
Apple TV	あっぷるてぃーびー	マスター
aria-describedby	ありあですくらいぶどばい	マスター
aria-expanded	ありあえくすぱんでっど	マスター
aria-haspopup	ありあはずぽっぷあっぷ	マスター
aria-label	ありあらべる	マスター
aria-labelledby	ありあらべるどばい	マスター
aria-live	ありあらいぶ	マスター
Awareness Day	あうぇあねすでい	マスター
a要素	えーようそ	マスター
Bluetooth	ぶるーとぅーす	マスター
Braille	ぶれいる	マスター
button要素	ぼたんようそ	マスター
Chrome	くろむ	マスター
class属性	くらすぞくせい	マスター
CSS	しーえすえす	マスター
CSS Nite	しーえすえすないと	マスター
CSUN	しーさん	マスター
Ctrlキー	こんとろーるきー	マスター
Deque	できゅー	マスター
display: none;	でぃすぷれいのん	マスター
Edge	えっじ	マスター
Enterキー	えんたーきー	マスター
Facebook	ふぇいすぶっく	マスター
Firefox	ふぁいやーふぉっくす	マスター
for属性	ふぉーぞくせい	マスター
GAAD	じーえーえーでぃー	マスター
Google	ぐーぐる	マスター
Google Home	ぐーぐるほーむ	マスター
h1	えいちわん	マスター
h1	えいちいち	マスター
h2	えいちつー	マスター
h2	えいちに	マスター
h3	えいちすりー	マスター
h3	えいちさん	マスター
href属性	えいちれふぞくせい	マスター
HTML	えいちてぃーえむえる	マスター
IAAP	あいえーえーぴー	マスター
ID	あいでぃー	マスター
id属性	あいでぃーぞくせい	マスター
id属性値	あいでぃーぞくせいち	マスター
IEC	あいいーしー	マスター
img要素	いめーじようそ	マスター
Instagram	いんすたぐらむ	マスター
Internet  Explorer 	いんたーねっとえくすぷろーらー	マスター
iOS	あいおーえす	マスター
